,u_index,tag_id,weight
924,107.0,14.0,4.0
925,107.0,16.0,2.0
926,107.0,22.0,4.0
927,107.0,31.0,1.0
928,108.0,4.0,3.0
929,108.0,22.0,4.0
930,108.0,3.0,9.0
931,108.0,16.0,3.0
932,108.0,7.0,2.0
933,108.0,0.0,2.0
934,108.0,14.0,2.0
935,108.0,10.0,4.0
936,108.0,30.0,1.0
937,109.0,3.0,7.0
938,109.0,21.0,3.0
939,109.0,30.0,3.0
940,109.0,10.0,9.0
941,109.0,4.0,6.0
942,109.0,0.0,3.0
943,109.0,7.0,2.0
944,109.0,25.0,2.0
945,109.0,13.0,2.0
946,109.0,2.0,2.0
947,109.0,22.0,2.0
948,109.0,18.0,2.0
949,109.0,28.0,2.0
950,110.0,4.0,5.0
951,110.0,22.0,3.0
952,110.0,7.0,1.0
953,110.0,17.0,1.0
954,110.0,5.0,3.0
955,110.0,11.0,1.0
956,110.0,2.0,1.0
957,110.0,10.0,1.0
958,110.0,14.0,1.0
959,110.0,16.0,1.0
960,110.0,3.0,1.0
961,110.0,21.0,1.0
962,111.0,26.0,1.0
963,111.0,3.0,5.0
964,111.0,21.0,3.0
965,111.0,30.0,2.0
966,111.0,23.0,2.0
967,111.0,10.0,1.0
968,111.0,0.0,1.0
969,111.0,8.0,1.0
970,111.0,27.0,1.0
971,112.0,3.0,7.0
972,112.0,12.0,3.0
973,112.0,22.0,2.0
974,112.0,1.0,1.0
975,112.0,4.0,2.0
976,112.0,25.0,2.0
977,112.0,5.0,4.0
978,112.0,10.0,4.0
979,112.0,21.0,4.0
980,112.0,11.0,3.0
981,113.0,3.0,8.0
982,113.0,30.0,1.0
983,113.0,0.0,2.0
984,113.0,10.0,4.0
985,113.0,14.0,3.0
986,113.0,16.0,2.0
987,113.0,4.0,3.0
988,113.0,22.0,2.0
989,113.0,9.0,2.0
990,113.0,25.0,1.0
991,114.0,21.0,2.0
992,114.0,5.0,5.0
993,114.0,10.0,2.0
994,114.0,11.0,1.0
995,114.0,3.0,6.0
